entity,type,entity_cl
AXP,ORG,AXP
Visa,ORG,V
Verizon,ORG,VZ
Johnson  Johnson,ORG,JNJ
IBM,ORG,IBM
AAPL,ORG,AAPL
Home Depot,ORG,HD
Boeing,ORG,BA
Intel,ORG,INTC
CVX,ORG,CVX
Goldman Sachs,ORG,GS
Microsoft,ORG,MSFT
JPM,ORG,JPM
DOW,ORG,DOW
AMGN,ORG,AMGN
Merck,ORG,MRK
DIS,ORG,DIS
CRM,ORG,CRM
PG,ORG,PG
3M,ORG,MMM
Cisco,ORG,CSCO
Caterpillar,ORG,CAT
KO,ORG,KO
TRV,ORG,TRV
WMT,ORG,WMT
MCD,ORG,MCD
NKE,ORG,NKE
UNH,ORG,UNH
Honeywell,ORG,HON
WBA,ORG,WBA
