,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-01-28,423348800.0,10899900.0,7210556.0,2288100.0,4851600.0,,49564400.0,4066000.0,7500963.0,,776800.0,7425100.0,3293686.0,6669400.0,53922800.0,12340000.0,7500000.0,10875200.0,4444200.0,3747400.0,9823000.0,58225400.0,3556000.0,9583400.0,814900.0,12754400.0,,3357527.0,1694200.0,14029400.0
2000-01-31,701680000.0,12619500.0,7406946.0,2411800.0,3677000.0,,66914600.0,3660600.0,7909072.0,,801800.0,5958600.0,3558641.0,6202700.0,68453200.0,9055200.0,7160250.0,10734600.0,4838300.0,3282800.0,8006300.0,73194200.0,4627200.0,4518200.0,612200.0,4790400.0,,5373154.0,2400900.0,7972700.0
2000-02-01,318035200.0,9902700.0,9279676.0,2675800.0,2930200.0,,87263000.0,2611600.0,7237202.0,,813100.0,10950500.0,2990026.0,7304700.0,48051400.0,6079200.0,9651000.0,8114600.0,4679500.0,2642200.0,5026400.0,70196600.0,5971200.0,4044200.0,1023000.0,3984000.0,,4674184.0,1820000.0,8359000.0
2000-02-02,464195200.0,9976900.0,8956815.0,3295500.0,2933600.0,,68449200.0,3418800.0,9411353.0,,964700.0,5862100.0,2726015.0,7707700.0,52080600.0,5791600.0,7126200.0,7164000.0,5769100.0,2924200.0,4642700.0,49915600.0,5572800.0,3920800.0,1416900.0,6660000.0,,2948441.0,1361200.0,6034600.0
2000-02-03,475193600.0,7613000.0,7454930.0,2889100.0,4343400.0,,48675200.0,3512800.0,10908160.0,,2213300.0,4008800.0,2564693.0,6213800.0,56126000.0,10237200.0,9200250.0,9464400.0,9225700.0,3520600.0,3874000.0,49186000.0,3973600.0,6259600.0,1374600.0,13720800.0,,2590060.0,1603300.0,6999000.0
2000-02-04,425320000.0,8069600.0,5155147.0,2927200.0,4122000.0,,52970000.0,4224200.0,6272985.0,,1451700.0,4063900.0,3830624.0,5405300.0,55953800.0,6906000.0,5115150.0,11501800.0,7752200.0,3293400.0,4262100.0,55365400.0,12485600.0,7647800.0,1507200.0,7199200.0,,3402004.0,1313000.0,6549700.0
2000-02-07,441067200.0,9190200.0,4470696.0,3029400.0,4089800.0,,48933400.0,3135600.0,6153573.0,,929800.0,3796600.0,2786538.0,5779500.0,42810000.0,5822000.0,4684200.0,7742800.0,9992900.0,3935400.0,4170200.0,40005800.0,6455200.0,6464400.0,1126800.0,11616800.0,,3314049.0,1358300.0,6043700.0
2000-02-08,408643200.0,11108300.0,5268594.0,5102700.0,5848400.0,,72100800.0,3567400.0,5780233.0,,1024800.0,4501700.0,4717059.0,5464300.0,38026000.0,6125400.0,6318600.0,8261200.0,12144800.0,2884000.0,3939200.0,56229000.0,65707200.0,6787800.0,1073900.0,8325600.0,,3069310.0,2262300.0,8576100.0
2000-02-09,299364800.0,7774100.0,7182109.0,5525000.0,5934800.0,,107807600.0,4802400.0,6158338.0,,397100.0,5289700.0,3887894.0,5374700.0,38615200.0,12422600.0,9818550.0,7948600.0,5915400.0,2600400.0,6927300.0,55090000.0,62571200.0,6255800.0,1127900.0,7526400.0,,3224760.0,1424300.0,8216600.0
2000-02-10,302982400.0,8880100.0,5986290.0,4060600.0,5807400.0,,64314000.0,3832600.0,5675925.0,,503200.0,3644900.0,3323161.0,4446600.0,43539200.0,11344800.0,6880500.0,8031000.0,5353400.0,4020000.0,7019500.0,54527800.0,25032800.0,5267800.0,3271100.0,20888000.0,,2851813.0,1878600.0,4591600.0
