,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-01-03,0.8608828186988831,49.80371475219727,34.16057586669922,25.94027709960937,13.693106651306152,4.300000190734863,40.11865615844727,19.3604736328125,23.11524772644043,44.31278991699219,68.82814025878906,42.56316757202149,33.241004943847656,72.89100646972656,27.16912078857422,26.81100273132324,25.863813400268555,15.694305419921877,23.44207763671875,27.588531494140625,30.6980037689209,37.01738357543945,4.791836261749268,30.248369216918945,19.1193790435791,5.632353782653809,12.90792179107666,20.573511123657227,20.196260452270508,45.43994522094727
2000-01-04,0.7883018255233765,45.9954948425293,32.870731353759766,25.899938583374023,13.51711082458496,4.300000190734863,37.86794662475586,19.3604736328125,24.46928596496582,44.31278991699219,64.49287414550781,40.31870269775391,32.65464401245117,70.41678619384766,25.900447845458984,25.82945251464844,25.296310424804688,15.711714744567873,22.961406707763672,26.492284774780277,29.6198844909668,35.76691436767578,4.530463218688965,29.666332244873047,18.865917205810547,5.560312747955322,12.90792179107666,19.908472061157227,19.444976806640625,43.73966217041016
2000-01-05,0.7998371124267578,47.578125,32.035823822021484,27.51365089416504,13.833909034729004,4.300000190734863,37.75192642211914,19.707744598388672,25.484806060791016,44.31278991699219,61.47283172607422,41.1348876953125,32.214820861816406,72.89100646972656,26.115144729614254,26.10210609436035,25.140159606933597,15.85089874267578,23.331148147583008,27.259662628173828,30.78311920166016,36.1440315246582,4.791836261749268,29.1019344329834,18.7210693359375,5.547213077545166,12.90792179107666,20.573511123657227,19.66594123840332,42.84700775146485
2000-01-06,0.7306205034255981,48.369441986083984,32.68851852416992,27.796043395996094,14.53792667388916,4.300000190734863,37.12542724609375,20.546987533569336,24.46928596496582,44.31278991699219,64.10321044921875,39.176082611083984,32.837867736816406,71.63426971435547,24.592737197875977,26.920080184936523,25.497079849243164,15.868301391601562,22.998380661010746,29.452133178710938,31.0384578704834,34.933284759521484,4.766944885253906,30.442392349243164,19.08317756652832,5.750240325927734,12.90792179107666,20.46900749206543,19.09144401550293,43.31461334228516
2000-01-07,0.7652291059494019,53.80978393554688,33.1644287109375,28.602895736694336,15.013141632080078,4.300000190734863,39.30655670166016,20.90872383117676,24.08242416381836,44.31278991699219,64.34676361083984,41.46134185791016,34.59703826904297,71.320068359375,25.607666015625,28.06521797180176,25.96552085876465,16.91227149963379,23.5899715423584,30.03678321838379,34.01747131347656,35.389793395996094,4.766944885253906,32.876365661621094,19.84360122680664,6.424814224243164,12.90792179107666,20.317859649658203,19.577556610107425,46.58761978149414
2000-01-10,0.751770555973053,57.073974609375,33.62675094604492,28.19945907592773,14.520329475402832,4.300000190734863,40.76835250854492,20.344411849975582,27.757646560668945,44.31278991699219,65.75936889648438,41.257301330566406,34.7802848815918,74.14776611328125,26.77875328063965,27.356319427490234,25.519392013549805,16.372888565063477,23.70090103149414,29.89061546325684,33.02447509765625,35.647823333740234,4.847846984863281,32.717620849609375,19.48149871826172,6.313477039337158,12.90792179107666,20.209909439086918,20.152061462402344,45.73750305175781
2000-01-11,0.7133165001869202,52.57332992553711,33.93949508666992,27.67501640319824,14.29152774810791,4.300000190734863,39.53858184814453,20.15631484985352,28.047792434692383,44.31278991699219,66.10033416748047,40.19629287719727,34.52374649047852,74.77611541748047,28.00839233398437,27.44720268249512,24.917091369628903,16.929672241210938,24.255525588989254,29.379053115844727,33.137962341308594,34.73479080200195,5.090548992156982,33.2291145324707,19.26422500610352,6.326574325561523,12.90792179107666,20.02098846435547,20.947546005249023,45.057376861572266
2000-01-12,0.670536994934082,50.29829788208008,33.762725830078125,27.796043395996094,14.53792667388916,4.300000190734863,38.54084014892578,20.083955764770508,26.065109252929688,44.31278991699219,65.75936889648438,39.86982345581055,34.85359191894531,75.0903091430664,28.49634552001953,27.192731857299805,25.073230743408203,17.12105941772461,25.290817260742188,29.452133178710938,33.7905158996582,33.60343170166016,4.916300296783447,33.01747131347656,19.300443649291992,6.267629623413086,12.90792179107666,19.346240997314453,21.38947296142578,44.24973678588867
2000-01-13,0.7440793514251709,52.87008666992188,33.93949508666992,27.35227394104004,14.696331024169922,4.300000190734863,39.42257308959961,20.272062301635746,26.935556411743164,44.31278991699219,65.85675811767578,40.56355285644531,35.11014175415039,74.30485534667969,28.43779945373535,27.156381607055664,25.45246696472168,16.860071182250977,25.031997680664062,29.452133178710938,33.93235778808594,34.238609313964844,4.978533744812012,32.45307540893555,19.698760986328125,6.464109420776367,12.90792179107666,19.195091247558597,21.345277786254883,44.29224395751953
2000-01-14,0.7724389433860779,54.05706405639648,34.70095443725586,28.401182174682617,14.625927925109863,4.300000190734863,39.93304443359375,20.1418399810791,25.9683895111084,44.31278991699219,66.73358917236328,40.44113540649414,35.11014175415039,75.16886138916016,32.18524932861328,27.247264862060547,26.367040634155277,16.999265670776367,25.20762634277344,29.03190040588379,33.64865493774414,35.647823333740234,5.109219074249268,33.01747131347656,19.698760986328125,6.457560062408447,12.90792179107666,19.454195022583008,20.81496238708496,43.8671875
